name,subscriber,category,subCategory
"Music Nepal","3101234","musicChannel","productionHouse"
"HighlightsNepal","2650757","webChannel","distributor"
"Budha Subba Digital Pvt Ltd","2342782","webChannel","distributor"
"OSR Digital","1485643","webChannel","distributor"
"SongsNepal","1107605","musicChannel","productionHouse"
"RamSar Media Pvt. Ltd","1088866","webChannel","productionHouse"
"The Cartoonz Crew","987364","musicChannel","dance"
"News24 Nepal","979607","webchannel","onlineTv"
"iamsega","957439","vlogger","regular"
"Canada Nepal","952946","webchannel","onlineTv"
"Nepal Idol","925847","musicChannel","realityShow"
"Kantipur TV HD","897701","webchannel","onlineTv"
"Media Hub Official Channel","805654","webChannel","productionHouse"
"The Voice of Nepal","623386","musicChannel","realityShow"
"Wow Nepal","598511","webchannel","onlineTv"
"VIBE & WAVE -Dance Studio Nepal","556638","musicChannel","dance"
"Colleges Nepal","541326","webchannel","onlineTv"
"Mero Online TV","538119","webchannel","onlineTv"
"Ramailo Chha","529694","webchannel","onlineTv"
"Sairam Pictures","512404","webChannel","musicLabel"
"Aama Agni Kumari Media","486336","webChannel","distributor"
"HiTechEntertainment","473671","webChannel","distributor"
"Channel Arbitrary","471852","webchannel","onlineTv"
"Neetesh Jung Kunwar","437975","musicChannel","musician"
"Bindabasini Music","435375","musicChannel","productionHouse"
"Onlinetv Nepal","428334","webchannel","onlineTv"
"CINEPATI TV","380875","webchannel","onlineTv"
"Ming Sherap","374357","vlogger","comedy"
"Yummy Food World","364301","webchannel","cooking"
"James Shrestha","347719","vlogger","regular"
"VTEN Official","334756","musicChannel","musician"
"Beest Official","326803","musicChannel","dance"
"Nepali Pranksters","323529","vlogger","prank"
"Sabin Karki -Beest","317877","vlogger","comedy"
"Laure","302761","musicChannel","musician"
"tv Nepali","291943","webchannel","onlineTv"
"Nepali Prank Minister","287326","webChannel","prank"
"VMAG","270496","webchannel","onlineTv"
"8K Everest Motion Pictures","269454","musicChannel","productionHouse"
"Trishna Gurung","262145","musicChannel","musician"
"Girish Khatiwada","259262","musicChannel","musician"
"Sagarmatha TV","254597","webchannel","onlineTv"
